,Unnamed: 0,Filename,Full_Path,PC1,PC2,PC3,Title,Artist,Album,Genre,Track Number,Duration (seconds),Bitrate (kbps),File Size (bytes),Year,Album Artist,Point_Color
0,0,000002.mp3,data\everything/000002.mp3,-1.0991031273378389,-2.5253314938387263,-0.1789634248228349,Food,AWOL,AWOL - A Way Of Life,Hip-Hop,3.0,30.01,256.0,960738.0,2008,,[0.267004 0.004874 0.329415 1.      ]
1,1,000005.mp3,data\everything/000005.mp3,1.295874911140443,-1.9187288347973284,0.2755527722610345,This World,AWOL,AWOL - A Way Of Life,Hip-Hop,6.0,30.05,256.0,961580.0,2008,,[0.267004 0.004874 0.329415 1.      ]
2,2,000010.mp3,data\everything/000010.mp3,-2.63494107470116,-2.4159280589577694,-2.685528716565889,Freeway,Kurt Vile,Constant Hitmaker,Pop,1.0,30.02,192.0,721040.0,2008-11-26T00:00:00,Kurt Vile,[0.278791 0.062145 0.386592 1.      ]
3,3,000140.mp3,data\everything/000140.mp3,2.0973723695818003,-2.236413266397908,-1.458311523573023,Queen Of The Wires,Alec K Redfearn And The Eyesores,The Blind Spot,Folk,2.0,30.02,128.0,480497.0,2007,,[0.283197 0.11568  0.436115 1.      ]
4,4,000141.mp3,data\everything/000141.mp3,2.289852984425071,0.1697421896521433,-0.32173724524965,Ohio,Alec K. Redfearn and the Eyesores,Every Man For Himself,Folk,4.0,30.02,128.0,480945.0,2008-11-26T00:00:00,Alec K. Redfearn and the Eyesores,[0.283197 0.11568  0.436115 1.      ]
5,5,000148.mp3,data\everything/000148.mp3,-1.7209815606652084,2.7012114234586457,3.403225771379346,Blackout 2,Andy Ortmann and Weasel Walter,Contradiction,Revival,2.0,30.02,256.0,960721.0,2004,,[0.280255 0.165693 0.476498 1.      ]
6,6,000182.mp3,data\everything/000182.mp3,-2.874544475644443,-0.8624849997271623,0.1531412573380417,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti,Worn Copy,Lo-fi,3.0,30.04,256.0,961955.0,2008-11-26T00:00:00,Ariel Pink's Haunted Graffiti,[0.270595 0.214069 0.507052 1.      ]
7,7,000190.mp3,data\everything/000190.mp3,4.769077992310405,1.013255662183859,-5.564763552868168,Castle Of Stars,Askew Ed,Blue Piano,Folk,2.0,30.04,256.0,961577.0,,,[0.283197 0.11568  0.436115 1.      ]
8,8,000193.mp3,data\everything/000193.mp3,5.635876924930152,3.034017415626869,-5.766100100417507,Here With You,Askew Ed,Blue Piano,Folk,3.0,30.02,256.0,960739.0,,,[0.283197 0.11568  0.436115 1.      ]
9,9,000194.mp3,data\everything/000194.mp3,5.8678974593401785,-0.0235715742310918,-5.935273281444352,All I want to Do,Askew Ed,Blue Piano,Folk,4.0,30.04,256.0,961579.0,,,[0.283197 0.11568  0.436115 1.      ]
10,10,000197.mp3,data\everything/000197.mp3,5.908944017814125,5.025280576924218,-5.599765391128956,Paino 2,Askew Ed,Blue Piano,Folk,5.0,30.01,256.0,960733.0,,,[0.283197 0.11568  0.436115 1.      ]
11,11,000200.mp3,data\everything/000200.mp3,3.174411087228263,1.4126444934453275,-5.476074496029392,Baby Come Home,Askew Ed,Blue Piano,Folk,7.0,30.01,256.0,960741.0,,,[0.283197 0.11568  0.436115 1.      ]
12,12,000203.mp3,data\everything/000203.mp3,4.664593337008874,-3.343288808422125,1.75154045004987,Song For R,Askew Ed,Blue Piano,Folk,8.0,30.01,256.0,960737.0,,,[0.283197 0.11568  0.436115 1.      ]
13,13,000204.mp3,data\everything/000204.mp3,4.022764444649629,-1.173388411302429,-4.3151028274598,My Dream,Askew Ed,Blue Piano,Folk,9.0,30.01,256.0,960734.0,,,[0.283197 0.11568  0.436115 1.      ]
14,14,000207.mp3,data\everything/000207.mp3,6.008499988709279,3.745035506374542,-7.138451422282464,Piano 3,Askew Ed,Blue Piano,Folk,10.0,30.01,256.0,960734.0,,,[0.283197 0.11568  0.436115 1.      ]
15,15,000210.mp3,data\everything/000210.mp3,3.515095848956147,-0.7119470891080177,-4.0249262427184815,In the French Court,Askew Ed,Blue Piano,Folk,13.0,30.04,256.0,961581.0,,,[0.283197 0.11568  0.436115 1.      ]
16,16,000211.mp3,data\everything/000211.mp3,5.549238778823471,-2.8545210820941134,-2.229336306617499,In America,Askew Ed,Blue Piano,Folk,14.0,30.01,256.0,960736.0,,,[0.283197 0.11568  0.436115 1.      ]
17,17,000212.mp3,data\everything/000212.mp3,3.4370431632613783,-2.2135616968641454,-2.281150928394005,When I Arive,Askew Ed,Blue Piano,Folk,15.0,30.01,256.0,960738.0,,,[0.283197 0.11568  0.436115 1.      ]
18,18,000213.mp3,data\everything/000213.mp3,3.0928546196298177,4.014648317310764,-4.876394644503261,Boute,Au,Au,Pop,1.0,30.01,256.0,960747.0,2007,,[0.278791 0.062145 0.386592 1.      ]
19,19,000255.mp3,data\everything/000255.mp3,-2.183736537843379,-0.6627214100707053,1.289490425567081,We Want to be Old,Bird Names,On Opaque Things,Pop,12.0,30.01,256.0,960743.0,2008,,[0.278791 0.062145 0.386592 1.      ]
20,20,000256.mp3,data\everything/000256.mp3,-7.1029712606104605,-1.96847678808394,-2.1441842372697786,Toggle,Black Elk,Black Elk,Metal,1.0,30.02,256.0,960790.0,2006,,[0.253935 0.265254 0.529983 1.      ]
21,21,000368.mp3,data\everything/000368.mp3,-1.5230333638013969,1.935281465183972,0.1580656756154843,Vampires,Blah Blah Blah,2/30th Anniversary Blah Blah Blah,,0.0,30.01,256.0,961094.0,2007,,"(0.8274509803921568, 0.8274509803921568, 0.8274509803921568, 1.0)"
22,22,000424.mp3,data\everything/000424.mp3,0.6480675737049484,1.1349396438355186,0.5107611170779595,The Ambient Honky,Brian Joseph Davis,The Definitive Host,Avant-Garde,5.0,30.02,256.0,961205.0,2008-11-26T00:00:00,Brian Joseph Davis,[0.235526 0.309527 0.542944 1.      ]
23,23,000459.mp3,data\everything/000459.mp3,-3.149619608425677,-0.1910615523495337,-0.7194970789323026,Machines and Muscles,CAVE,Butthash,Krautrock,0.0,30.06,128.0,481256.0,2008-11-26T00:00:00,CAVE,[0.21621  0.351535 0.550627 1.      ]
24,24,000534.mp3,data\everything/000534.mp3,3.0521704517854715,-2.3906687709886816,-0.0699029371389384,I Can See You,Charles Manson,One Mind,Folk,1.0,30.02,128.0,480811.0,2005,,[0.283197 0.11568  0.436115 1.      ]
25,25,000540.mp3,data\everything/000540.mp3,2.1685897012664883,-2.0736944775714714,1.1833119641922474,The Black Pirate,Charles Manson,One Mind,Folk,7.0,30.02,128.0,480813.0,2005,,[0.283197 0.11568  0.436115 1.      ]
26,26,000546.mp3,data\everything/000546.mp3,1.0434980591902874,-2.954395758467358,-0.3528220481199539,If You Have No One,Charles Manson,One Mind,Folk,13.0,30.03,128.0,480816.0,2005,,[0.283197 0.11568  0.436115 1.      ]
27,27,000574.mp3,data\everything/000574.mp3,-4.693710413421174,-2.674916043433257,-2.852427000796596,Caliente Queen,Clockcleaner,Babylon Rules,Punk,4.0,29.99,240.2982088414634,901148.0,2007,,[0.197636 0.391528 0.554969 1.      ]
28,28,000602.mp3,data\everything/000602.mp3,2.956150002531975,0.8873264653042316,0.9349987086419894,Disappearing,Dorothy Bleu,"Clones of Eros, Axa Hour of Dora Bleu",Folk,3.0,30.01,160.0,600542.0,2007,,[0.283197 0.11568  0.436115 1.      ]
29,29,000615.mp3,data\everything/000615.mp3,1.9888441165521105,5.3653657249693625,-0.1483954520872785,"Immaterial, side A",EKG,Immaterial,Electroacoustic,1.0,30.04,256.0,961575.0,2003,EKG,[0.179019 0.433756 0.55743  1.      ]
30,30,000620.mp3,data\everything/000620.mp3,1.5619477981731194,0.4699702653392478,-1.448203730719624,Arabesque,Ed Askew,Viridian City,Folk,4.0,30.02,256.0,961074.0,2008,,[0.283197 0.11568  0.436115 1.      ]
31,31,000621.mp3,data\everything/000621.mp3,4.274090581611175,-1.8979770971726075,-3.2284516141168886,Blue Eyed Baby,Ed Askew,Rainy Day Song,Folk,4.0,30.01,256.0,960732.0,2008,,[0.283197 0.11568  0.436115 1.      ]
32,32,000625.mp3,data\everything/000625.mp3,2.0768035667236444,0.874303086077638,-0.4559961088587707,Climbing To The Top,Ed Askew,Rainy Day Song,Folk,7.0,30.05,256.0,961572.0,2008,,[0.283197 0.11568  0.436115 1.      ]
33,33,000666.mp3,data\everything/000666.mp3,-5.457734695016516,-2.1989357327498347,-1.0551122883469417,Heat,Explode Into Colors,mp3,Reggae - Dub,0.0,30.04,256.0,960889.0,2008-11-26T00:00:00,Explode Into Colors,[0.163625 0.471133 0.558148 1.      ]
34,34,000667.mp3,data\everything/000667.mp3,-6.147576761227194,-1.8354001228720824,-0.8644832348606551,Sharpen The Knife,Explode Into Colors,mp3,Reggae - Dub,0.0,30.01,256.0,960083.0,2008-11-26T00:00:00,Explode Into Colors,[0.163625 0.471133 0.558148 1.      ]
